Timestamp,sessionID,activity
4/2/2024 1:15:56,402219422161569492,Died (Spikes) - Level2
4/2/2024 1:20:54,1878314160209037807,Jump - Level2
4/2/2024 1:20:55,1878314160209037807,Jump - Level2
4/2/2024 1:20:57,1878314160209037807,Jump - Level2
4/2/2024 1:20:58,1878314160209037807,Jump - Level2
4/2/2024 1:22:46,6726660908920299925,Jump - Level2
4/2/2024 1:22:47,6726660908920299925,Jump - Level2
4/2/2024 1:22:52,6726660908920299925,Jump - Level2
4/2/2024 1:22:55,6726660908920299925,Jump - Level2
4/2/2024 1:22:56,6726660908920299925,Jump - Level2
4/2/2024 1:22:57,6726660908920299925,Jump - Level2
4/2/2024 1:22:58,6726660908920299925,Jump - Level2
4/2/2024 1:22:58,6726660908920299925,Jump - Level2
4/2/2024 15:42:49,6555860248084616741,Jump - Level3
4/2/2024 15:42:49,6555860248084616741,Jump - Level3
4/2/2024 15:42:52,6555860248084616741,Died (Spikes) - Level3
4/2/2024 15:42:55,6555860248084616741,Jump - Level3
4/2/2024 15:42:57,6555860248084616741,Jump - Level3
4/2/2024 15:42:58,6555860248084616741,Jump - Level3
4/2/2024 15:42:58,6555860248084616741,Died (Spikes) - Level3
4/2/2024 15:42:58,6555860248084616741,Died (Spikes) - Level3
4/2/2024 15:43:01,6555860248084616741,Jump - Level3
4/2/2024 15:47:15,1174004052441019090,Jump - Level3
4/2/2024 15:47:17,1174004052441019090,Jump - Level3
4/2/2024 15:47:18,1174004052441019090,Jump - Level3
4/2/2024 15:47:19,1174004052441019090,Died (Enemy) - Level3
4/2/2024 15:47:33,1174004052441019090,Jump - Level3
4/2/2024 15:47:36,1174004052441019090,Jump - Level3
4/2/2024 15:47:39,1174004052441019090,Jump - Level3
4/2/2024 15:47:42,1174004052441019090,Died (Spikes) - Level3
4/2/2024 15:47:42,1174004052441019090,Jump - Level3
4/2/2024 15:47:59,1174004052441019090,Jump - Level3
4/2/2024 15:49:53,5594743245670829432,Jump - Level3
4/2/2024 15:49:53,5594743245670829432,Jump - Level3
4/2/2024 15:49:54,5594743245670829432,Out of Spotlight - Level3
4/2/2024 15:49:54,5594743245670829432,Died (Enemy) - Level3
4/2/2024 15:59:33,3389956957626549601,In Spotlight - Level3
4/2/2024 15:59:36,3389956957626549601,Out of Spotlight - Level3
4/2/2024 15:59:42,3389956957626549601,Jump - Level3
4/2/2024 15:59:46,3389956957626549601,Jump - Level3
4/2/2024 15:59:46,3389956957626549601,In Spotlight - Level3
4/2/2024 15:59:46,3389956957626549601,Jump - Level3
4/2/2024 15:59:47,3389956957626549601,Out of Spotlight - Level3
4/2/2024 15:59:47,3389956957626549601,Died (Spikes) - Level3
4/2/2024 15:59:47,3389956957626549601,Out of Spotlight - Level3
4/2/2024 15:59:49,3389956957626549601,Jump - Level3
4/2/2024 16:11:31,3736764640667438211,Out of Spotlight - Menu
4/2/2024 16:11:38,3736764640667438211,Jump - Level1
4/2/2024 16:59:27,8750710196351199443,Out of Spotlight - Menu
4/2/2024 16:59:31,8750710196351199443,Jump - Level1
4/2/2024 16:59:32,8750710196351199443,Jump - Level1
4/2/2024 16:59:34,8750710196351199443,Jump - Level1
4/2/2024 16:59:38,8750710196351199443,In Spotlight - Level1
4/2/2024 16:59:40,8750710196351199443,Out of Spotlight - Level1
4/2/2024 16:59:41,8750710196351199443,Jump - Level1
4/2/2024 16:59:41,8750710196351199443,In Spotlight - Level1
4/2/2024 16:59:42,8750710196351199443,Out of Spotlight - Level1
4/2/2024 16:59:46,8750710196351199443,Jump - Level1
4/2/2024 16:59:48,8750710196351199443,Jump - Level1
4/2/2024 16:59:49,8750710196351199443,Jump - Level1
4/2/2024 16:59:50,8750710196351199443,Jump - Level1
4/2/2024 16:59:52,8750710196351199443,Jump - Level1
4/2/2024 16:59:56,8750710196351199443,In Spotlight - Level1
4/2/2024 16:59:57,8750710196351199443,Jump - Level1
4/2/2024 16:59:57,8750710196351199443,Out of Spotlight - Level1
4/2/2024 16:59:58,8750710196351199443,Jump - Level1
4/2/2024 16:59:59,8750710196351199443,Jump - Level1
4/2/2024 17:00:00,8750710196351199443,Out of Spotlight - Level1
4/2/2024 17:00:00,8750710196351199443,Win - Level 1
4/2/2024 17:00:14,8750710196351199443,Jump - Level2
4/2/2024 17:00:15,8750710196351199443,Jump - Level2
4/2/2024 17:00:17,8750710196351199443,Jump - Level2
4/2/2024 17:00:23,8750710196351199443,In Spotlight - Level2
4/2/2024 17:00:23,8750710196351199443,Jump - Level2
4/2/2024 17:00:24,8750710196351199443,Out of Spotlight - Level2
4/2/2024 17:00:24,8750710196351199443,In Spotlight - Level2
4/2/2024 17:00:24,8750710196351199443,Out of Spotlight - Level2
4/2/2024 17:00:25,8750710196351199443,Jump - Level2
4/2/2024 17:00:25,8750710196351199443,In Spotlight - Level2
